package,date,version,total_dependencies,source
astropy,2023-11-22 21:17:09,6.0.0rc2,42,pypi
astropy,2023-11-27 18:22:01,6.0.0,42,pypi
astropy,2024-03-26 18:28:36,6.0.1,43,pypi
astropy,2024-04-04 14:19:49,6.1.0rc1,45,pypi
astropy,2024-05-04 22:15:57,6.1.0,45,pypi
astropy,2024-06-17 13:43:59,6.1.1,46,pypi
astropy,2024-07-23 14:34:48,6.1.2,46,pypi
astropy,2024-08-30 12:44:10,6.1.3,46,pypi
astropy,2024-09-26 23:47:31,6.1.4,46,pypi
astropy,2024-11-06 18:15:40,7.0.0rc1,49,pypi
astropy,2024-11-07 14:52:41,6.1.5,46,pypi
astropy,2024-11-11 15:22:53,6.1.6,46,pypi
astropy,2024-11-22 08:57:25,7.0.0,49,pypi
astropy,2024-11-22 21:21:30,6.1.7,46,pypi
astropy,2025-02-06 21:45:55,7.0.1,49,pypi
astropy,2025-05-09 08:47:00,7.1.0rc1,51,pypi
astropy,2025-05-12 20:38:32,7.0.2,49,pypi
astropy,2025-05-20 13:39:29,7.1.0,51,pypi
astropy,2025-10-10 20:36:00,7.1.1,51,pypi
astropy,2025-11-10 14:16:26,7.2.0rc1,51,pypi
matplotlib,2006-01-09 14:02:01,0.86,0,pypi
matplotlib,2006-01-12 13:06:04,0.86.1,0,pypi
matplotlib,2006-01-24 13:46:09,0.86.2,0,pypi
matplotlib,2007-11-28 03:25:13,0.91.0,0,pypi
matplotlib,2007-11-30 04:20:50,0.91.1,0,pypi
matplotlib,2011-08-15 19:57:35,1.0.1,0,pypi
matplotlib,2012-02-22 23:35:10,1.1.0,0,pypi
matplotlib,2012-08-24 13:01:27,1.1.1,0,pypi
matplotlib,2014-07-31 02:24:50,1.3.1,0,pypi
matplotlib,2014-08-27 17:44:07,1.4.0,0,pypi
matplotlib,2014-10-14 16:36:00,1.4.1rc1,0,pypi
matplotlib,2014-10-18 20:43:45,1.4.1,0,pypi
matplotlib,2014-10-23 14:04:44,1.4.2,0,pypi
matplotlib,2015-02-17 04:51:23,1.4.3,0,pypi
matplotlib,2015-10-12 16:43:11,1.2.0,0,pypi
matplotlib,2015-10-12 16:47:03,1.2.1,0,pypi
matplotlib,2015-10-12 16:51:39,1.3.0,0,pypi
matplotlib,2015-10-30 02:46:09,1.5.0,5,pypi
matplotlib,2016-01-11 04:28:55,1.5.1,0,pypi
matplotlib,2016-05-31 07:22:35,2.0.0b1,6,pypi
matplotlib,2016-07-14 05:38:27,2.0.0b2,0,pypi
matplotlib,2016-08-15 22:12:01,2.0.0b3,0,pypi
matplotlib,2016-08-18 23:02:56,1.5.2,0,pypi
matplotlib,2016-09-09 20:01:15,1.5.3,0,pypi
matplotlib,2016-09-09 20:07:03,2.0.0b4,0,pypi
matplotlib,2016-12-06 05:24:48,2.0.0rc1,0,pypi
matplotlib,2016-12-19 05:17:36,2.0.0rc2,0,pypi
matplotlib,2017-01-20 17:43:48,2.0.0,0,pypi
matplotlib,2017-05-02 17:58:42,2.0.1,0,pypi
matplotlib,2017-05-10 17:23:07,2.0.2,0,pypi
matplotlib,2017-09-02 04:27:01,2.1.0rc1,0,pypi
matplotlib,2017-10-07 23:14:12,2.1.0,0,pypi
matplotlib,2017-12-12 03:05:42,2.1.1,0,pypi
matplotlib,2018-01-21 18:05:21,2.1.2,0,pypi
matplotlib,2018-02-14 18:44:38,2.2.0rc1,0,pypi
matplotlib,2018-03-06 05:39:47,2.2.0,0,pypi
matplotlib,2018-03-17 18:09:49,2.2.2,0,pypi
matplotlib,2018-08-11 18:49:18,2.2.3,0,pypi
matplotlib,2018-08-28 02:05:24,3.0.0rc2,0,pypi
matplotlib,2018-09-18 23:14:59,3.0.0,0,pypi
matplotlib,2018-10-25 19:35:08,3.0.1,0,pypi
matplotlib,2018-11-11 04:20:27,3.0.2,0,pypi
matplotlib,2019-03-01 03:19:28,2.2.4,0,pypi
matplotlib,2019-03-01 03:36:02,3.0.3,0,pypi
matplotlib,2019-04-20 01:49:28,3.1.0rc1,0,pypi
