package,version,date,gpu_score,cuda_version,gpu_deps_count,requires_external_cuda,source
cupy,9.5.0,2021-09-30 05:27:19,5,,0,True,pypi
cupy,9.5.0,2021-09-30 05:27:21,5,,0,True,pypi
cupy,9.5.0,2021-09-30 05:30:24,5,,0,True,pypi
cupy,9.6.0,2021-11-10 08:03:05,5,,0,True,pypi
cupy,9.6.0,2021-11-10 08:05:30,5,,0,True,pypi
cupy,10.0.0rc1,2021-11-10 08:22:47,5,,0,True,pypi
cupy,9.6.0,2021-11-10 08:22:49,5,,0,True,pypi
cupy,10.0.0,2021-12-09 03:54:12,5,,0,True,pypi
cupy,10.0.0,2021-12-09 03:54:36,5,,0,True,pypi
cupy,10.0.0,2021-12-09 03:55:11,5,,0,True,pypi
cupy,10.1.0,2022-01-20 06:50:51,5,,0,True,pypi
cupy,10.1.0,2022-01-20 06:51:23,5,,0,True,pypi
cupy,10.1.0,2022-01-20 06:57:06,5,,0,True,pypi
cupy,11.0.0a1,2022-01-20 07:46:45,5,,0,True,pypi
cupy,10.2.0,2022-02-25 02:05:11,5,,0,True,pypi
cupy,11.0.0a2,2022-02-25 02:05:13,5,,0,True,pypi
cupy,10.2.0,2022-02-25 02:05:38,5,,0,True,pypi
cupy,10.2.0,2022-02-25 02:06:36,5,,0,True,pypi
cupy,10.3.0,2022-03-31 04:08:35,5,,0,True,pypi
cupy,10.3.0,2022-03-31 04:09:38,5,,0,True,pypi
cupy,10.3.0,2022-03-31 04:09:39,5,,0,True,pypi
cupy,11.0.0b1,2022-03-31 04:28:12,5,,0,True,pypi
cupy,10.3.1,2022-04-08 01:10:46,5,,0,True,pypi
cupy,10.3.1,2022-04-08 01:11:27,5,,0,True,pypi
cupy,10.3.1,2022-04-08 01:21:55,5,,0,True,pypi
cupy,10.4.0,2022-04-27 01:01:05,5,,0,True,pypi
cupy,10.4.0,2022-04-27 01:01:38,5,,0,True,pypi
cupy,10.4.0,2022-04-27 01:02:57,5,,0,True,pypi
cupy,11.0.0b2,2022-04-27 01:15:30,5,,0,True,pypi
cupy,11.0.0b3,2022-05-26 05:03:13,5,,0,True,pypi
cupy,10.5.0,2022-05-26 05:27:01,5,,0,True,pypi
cupy,10.5.0,2022-05-26 06:37:45,5,,0,True,pypi
cupy,10.5.0,2022-05-26 06:39:05,5,,0,True,pypi
cupy,10.6.0,2022-06-30 04:50:01,5,,0,True,pypi
cupy,10.6.0,2022-06-30 04:51:35,5,,0,True,pypi
cupy,10.6.0,2022-06-30 04:51:45,5,,0,True,pypi
cupy,11.0.0rc1,2022-06-30 05:15:19,5,,0,True,pypi
cupy,11.0.0,2022-07-28 05:37:53,5,,0,True,pypi
cupy,11.0.0,2022-07-28 05:37:57,5,,0,True,pypi
cupy,11.0.0,2022-07-28 05:38:27,5,,0,True,pypi
cupy,11.0.0,2022-07-28 05:42:27,5,,0,True,pypi
cupy,11.1.0,2022-09-01 02:01:31,5,,0,True,pypi
cupy,11.1.0,2022-09-01 02:12:43,5,,0,True,pypi
cupy,11.1.0,2022-09-01 02:14:51,5,,0,True,pypi
cupy,11.1.0,2022-09-01 02:22:27,5,,0,True,pypi
cupy,12.0.0a1,2022-09-01 03:23:11,5,,0,True,pypi
cupy,11.2.0,2022-10-06 04:41:43,5,,0,True,pypi
cupy,11.2.0,2022-10-06 04:42:40,5,,0,True,pypi
cupy,11.2.0,2022-10-06 04:43:03,5,,0,True,pypi
cupy,11.2.0,2022-10-06 04:43:14,5,,0,True,pypi
cupy,12.0.0a2,2022-10-06 04:46:40,5,,0,True,pypi
cupy,11.3.0,2022-11-11 04:11:20,5,,0,True,pypi
cupy,11.3.0,2022-11-11 04:11:48,5,,0,True,pypi
cupy,11.3.0,2022-11-11 04:11:55,5,,0,True,pypi
cupy,11.3.0,2022-11-11 04:13:04,5,,0,True,pypi
cupy,12.0.0b1,2022-11-11 04:46:49,5,,0,True,pypi
cupy,12.0.0b2,2022-12-08 01:37:43,5,,0,True,pypi
cupy,11.4.0,2022-12-08 01:46:38,5,,0,True,pypi
cupy,11.4.0,2022-12-08 01:47:22,5,,0,True,pypi
cupy,11.4.0,2022-12-08 01:49:05,5,,0,True,pypi
cupy,11.4.0,2022-12-08 01:49:45,5,,0,True,pypi
cupy,11.5.0,2023-01-19 07:49:35,5,,0,True,pypi
cupy,12.0.0b3,2023-01-19 07:49:37,5,,0,True,pypi
cupy,11.5.0,2023-01-19 07:52:23,5,,0,True,pypi
cupy,11.5.0,2023-01-19 07:52:47,5,,0,True,pypi
cupy,11.5.0,2023-01-19 07:53:14,5,,0,True,pypi
cupy,11.5.0,2023-01-19 07:53:51,5,,0,True,pypi
cupy,12.0.0rc1,2023-03-02 00:54:06,5,,0,True,pypi
cupy,11.6.0,2023-03-02 00:56:37,5,,0,True,pypi
cupy,11.6.0,2023-03-02 00:57:04,5,,0,True,pypi
cupy,11.6.0,2023-03-02 00:57:18,5,,0,True,pypi
cupy,11.6.0,2023-03-02 00:58:29,5,,0,True,pypi
cupy,11.6.0,2023-03-02 00:58:34,5,,0,True,pypi
cupy,12.0.0,2023-03-30 02:40:08,5,,0,True,pypi
cupy,12.0.0,2023-03-30 02:45:59,5,,0,True,pypi
cupy,12.0.0,2023-03-30 02:53:13,5,,0,True,pypi
cupy,12.0.0,2023-03-30 02:53:56,5,,0,True,pypi
cupy,12.0.0,2023-03-30 03:24:15,5,,0,True,pypi
cupy,12.1.0,2023-05-25 02:54:47,5,,0,True,pypi
cupy,12.1.0,2023-05-25 03:00:10,5,,0,True,pypi
cupy,13.0.0a1,2023-05-25 03:01:56,5,,0,True,pypi
cupy,12.1.0,2023-05-25 03:30:41,5,,0,True,pypi
cupy,12.1.0,2023-05-25 03:31:19,5,,0,True,pypi
cupy,12.1.0,2023-05-25 03:32:14,5,,0,True,pypi
cupy,13.0.0b1,2023-08-08 06:02:55,5,,0,True,pypi
cupy,12.2.0,2023-08-08 06:10:41,5,,0,True,pypi
cupy,12.2.0,2023-08-08 06:11:26,5,,0,True,pypi
cupy,12.2.0,2023-08-08 06:12:35,5,,0,True,pypi
cupy,12.2.0,2023-08-08 06:13:31,5,,0,True,pypi
cupy,12.2.0,2023-08-08 06:14:47,5,,0,True,pypi
cupy,13.0.0rc1,2023-12-07 04:46:10,5,,0,True,pypi
cupy,12.3.0,2023-12-07 05:07:50,5,,0,True,pypi
cupy,12.3.0,2023-12-07 05:09:06,5,,0,True,pypi
cupy,12.3.0,2023-12-07 05:11:16,5,,0,True,pypi
cupy,12.3.0,2023-12-07 05:12:54,5,,0,True,pypi
cupy,12.3.0,2023-12-07 05:15:09,5,,0,True,pypi
cupy,13.0.0,2024-01-18 01:37:03,5,,0,True,pypi
cupy,13.0.0,2024-01-18 02:10:23,5,,0,True,pypi
cupy,13.0.0,2024-01-18 02:11:31,5,,0,True,pypi
cupy,13.1.0,2024-04-19 04:14:38,5,,0,True,pypi
cupy,13.1.0,2024-04-19 04:15:51,5,,0,True,pypi
cupy,13.1.0,2024-04-19 04:17:35,5,,0,True,pypi
cupy,13.2.0,2024-06-13 00:58:34,5,,0,True,pypi
cupy,13.2.0,2024-06-13 00:59:47,5,,0,True,pypi
cupy,13.2.0,2024-06-13 01:01:27,5,,0,True,pypi
cupy,13.3.0,2024-08-22 07:05:32,5,,0,True,pypi
cupy,13.3.0,2024-08-22 07:06:43,5,,0,True,pypi
cupy,13.3.0,2024-08-22 07:08:16,5,,0,True,pypi
cupy,13.4.0,2025-02-28 06:28:27,5,,0,True,pypi
cupy,13.4.0,2025-02-28 06:31:58,5,,0,True,pypi
cupy,13.4.0,2025-02-28 06:35:23,5,,0,True,pypi
cupy,13.4.1,2025-03-21 07:22:44,5,,0,True,pypi
cupy,13.4.1,2025-03-21 07:24:28,5,,0,True,pypi
cupy,13.4.1,2025-03-21 07:26:13,5,,0,True,pypi
cupy,14.0.0a1,2025-04-04 08:36:48,5,,0,True,pypi
cupy,13.5.0,2025-07-03 05:43:23,5,,0,True,pypi
cupy,13.5.0,2025-07-03 05:44:54,5,,0,True,pypi
cupy,13.5.0,2025-07-03 05:46:30,5,,0,True,pypi
cupy,13.5.1,2025-07-11 04:36:41,5,,0,True,pypi
cupy,13.5.1,2025-07-11 04:38:00,5,,0,True,pypi
cupy,13.5.1,2025-07-11 04:39:26,5,,0,True,pypi
cupy,13.6.0,2025-08-18 08:22:47,5,,0,True,pypi
cupy,13.6.0,2025-08-18 08:24:08,5,,0,True,pypi
cupy,13.6.0,2025-08-18 08:33:04,5,,0,True,pypi
jax,0.0,2018-12-07 19:13:36,0,,0,True,pypi
jax,0.1,2018-12-07 19:13:39,0,,0,True,pypi
jax,0.1.1,2018-12-07 19:15:21,0,,0,True,pypi
jax,0.1.2,2018-12-07 23:05:17,0,,0,True,pypi
jax,0.1.3,2018-12-08 17:38:07,0,,0,True,pypi
jax,0.1.4,2018-12-09 14:53:47,0,,0,True,pypi
jax,0.1.5,2018-12-09 15:27:49,0,,0,True,pypi
jax,0.1.6,2018-12-11 21:32:54,0,,0,True,pypi
jax,0.1.7,2018-12-12 00:29:07,0,,0,True,pypi
jax,0.1.8,2018-12-12 18:02:43,0,,0,True,pypi
jax,0.1.9,2018-12-13 04:31:22,0,,0,True,pypi
jax,0.1.10,2018-12-15 03:52:03,0,,0,True,pypi
jax,0.1.11,2018-12-16 04:16:49,0,,0,True,pypi
jax,0.1.12,2018-12-19 07:35:49,0,,0,True,pypi
jax,0.1.13,2018-12-19 17:24:00,0,,0,True,pypi
jax,0.1.14,2018-12-19 17:42:55,0,,0,True,pypi
jax,0.1.15,2018-12-24 19:35:06,0,,0,True,pypi
jax,0.1.16,2019-01-12 16:07:50,0,,0,True,pypi
jax,0.1.18,2019-02-06 19:21:24,0,,0,True,pypi
jax,0.1.19,2019-02-13 22:56:32,0,,0,True,pypi
jax,0.1.20,2019-02-17 17:59:49,0,,0,True,pypi
jax,0.1.21,2019-03-01 04:33:39,0,,0,True,pypi
jax,0.1.22,2019-03-28 13:43:07,0,,0,True,pypi
jax,0.1.23,2019-04-05 14:56:42,0,,0,True,pypi
jax,0.1.24,2019-04-06 21:29:50,0,,0,True,pypi
jax,0.1.25,2019-04-08 00:51:49,0,,0,True,pypi
jax,0.1.26,2019-05-05 17:05:23,0,,0,True,pypi
jax,0.1.27,2019-05-07 22:52:56,0,,0,True,pypi
jax,0.1.28,2019-05-10 03:16:32,0,,0,True,pypi
